
HOT_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Status	Warning	Type_strain	16S_rRNA	Clone_count	Clone_%	Clone_rank	Synonyms	NCBI_taxon_id	NCBI_pubmed_count	NCBI_nucleotide_count	NCBI_protein_count	Genome_ID	General_info	Cultivability	Phenotypic_characteristics	Prevalence	Disease	References
068	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 068				AF432137	32	0.09	158	Oral Clone FP015						N/A					
069	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 069				AF432139	1	0.00	459	Oral Clone FP064						N/A					
070	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 070				AY005040	131	0.38	55	Hans strain 12A|Hans strain 7A					SEQF1888	N/A					
071	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 071				AY278631|AY207064|AY207062|AY005041	189	0.54	37	Strain TFI H6					SEQF1913|SEQF2312	N/A					
073	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis			ATCC 700641	AF385525|AF184974	179	0.51	39						SEQF2020	N/A					
074	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 074				AF385526	54	0.15	118	Strain TFI T4-E3						N/A					
075	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales[F-2]	Clostridiales[F-2][G-1]	sp. oral taxon 075				AF287779	64	0.18	102	Oral Clone A035|Oral Clone F058						N/A					
076	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	warneri				L37603	3	0.01	387	Staphylococcus warnerii					SEQF2442|SEQF1839|SEQF2208|SEQF2712|SEQF2713	N/A					
078	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Oribacterium	sp. oral taxon 078				AF287771	5	0.01	343	Oral Clone AO068|Strain F0190					SEQF1603|SEQF2448	N/A	A strain of this taxa has recent been isolated, F0190, but not yet characterized.				
080	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-5]	sp. oral taxon 080				AF287772	4	0.01	365	Clone BB124						N/A					
081	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Peptostreptococcaceae[11][G-7]	sp. oral taxon 081				AF287764	3	0.01	387	Clone BB142					SEQF2652	N/A					
082	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnoanaerobaculum	orale			CCUG 60305|N1|DSM 24533	AF385552|HQ877677	15	0.04	228	 Lachnospiraceae bacterium oral taxon 082 str. F0431 | Lachnospiraceae sp. strain F0431| Lachnospiraceae [G-1] sp. oral taxon 082 | Clone BE088 					SEQF1881	Recently named Lachnoanaerobaculum oral in paper "Lachnoanaerobaculum a new genus in Lachnospiraceae; characterization of Lachnoanaerobaculum umeaense gen. nov., sp. nov., isolated from human small intestine, Lachnoanaerobaculum orale gen. nov., sp. nov., isolated from saliva and reclassification of Eubacterium saburreum (Prevot) Holdeman and Moore 1970 as Lachnoanaerobaculum saburreum comb. nov". PMID: 22228654. &nbsp;The genome for this strain is available as Lachnospiraceae bacterium oral taxon 082 str. F0431 AGRL00000000.&nbsp; The name change is not yet refledted for the genome at NCBI (11-02-2012).					
083	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnoanaerobaculum	sp. oral taxon 083				AF385557|AF385562	3	0.01	387	Clone BR088|Clone BS091						N/A					
085	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales[F-2]	Clostridiales[F-2][G-2]	sp. oral taxon 085				AF385563	24	0.07	181	Oral Clone BU014						N/A					
086	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-7]	sp. oral taxon 086				AF385567	4	0.01	365	Oral Clone BU061						N/A					
088	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-2]	sp. oral taxon 088				AF287775	1	0.00	459							N/A					
089	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnoanaerobaculum	sp. oral taxon 089				AF287776	2	0.01	409	Oral Clone CK004						N/A					
090	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-6]	sp. oral taxon 090				AF287773	1	0.00	459	Oral Clone CK030						N/A					
091	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Peptostreptococcaceae[11][G-2]	sp. oral taxon 091				AF287762	5	0.01	343	Oral Clone CK047						N/A					
092	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	weaveri				L10738	0	0.00	0	CDC group M-5					SEQF2330|SEQF2331	N/A					
093	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales[F-1]	Clostridiales[F-1][G-1]	sp. oral taxon 093				AF481213	10	0.03	280	Oral Clone CK059|Oral Clone MCE7_107						N/A					
094	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Butyrivibrio	sp. oral taxon 094				AF287768	2	0.01	409	Oral Clone DA074						N/A					
095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Shuttleworthia	satelles				AF385507|AF385570|AF399956	76	0.22	91						SEQF1045	N/A					
096	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-2]	sp. oral taxon 096				AF385508	20	0.06	198	DO008					SEQF2649|SEQF2738	N/A					
097	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Stomatobaculum	sp. oral taxon 097				AF385510	10	0.03	280	Oral Clone DO016						N/A					
100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnospiraceae[G-3]	sp. oral taxon 100				AF385573	58	0.17	112	Oral Clone EI074						N/A					
102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Oribacterium	sp. oral taxon 102				AF481218	16	0.05	224	Oral Clone FB046|Oral Clone MCE7_60					SEQF2358	N/A					
103	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Peptostreptococcaceae[11][G-4]	sp. oral taxon 103				AJ012604	11	0.03	267	Oral Clone PUS9.170						N/A					
105	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Eubacterium[11][G-1]	infirmum			NCTC 12940	AF287761|U13039	57	0.16	113	Oral strain W 1417					SEQF1695|SEQF1108	Eubacterium infirmum belongs to a phylogenetic cluster distant from Eubacterium limosum, the type species of the genus and is therefore not a member of Eubacterium sensu stricto. Along with many other members of this poorly-defined genus, E. infirmum will be assigned to a novel genus in due course.	Slow growth on Fastidious Anaerobe Agar + 5% horse blood plates. After 7 days, colonies are approximately 1 mm in diameter, circular, convex and translucent.	Cells are obligately anaerobic, non-spore-forming, nonmotile, Gram-positive, short rods (0.5 &micro;m by 1-2 &micro;m) [1]. Cells occur singly. Asaccharolytic. End-products of metabolism are moderate amounts of acetate and butyrate. The mol% G+C of the DNA is 38.	Found in the human mouth	Isolated from subgingival plaque in periodontitis.	Int J Syst Bacteriol. 1996 Oct;46(4):957-9[PID:8863423]
106	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Peptostreptococcaceae[11][G-7]	sp. oral taxon 106				AF287765	2	0.01	409	Oral Strain TFI A3MT						N/A					
107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Lachnoanaerobaculum	umeaense				AF287777|FJ796700|FJ577253	54	0.15	118	  Oral Strain C27KA |   Oral Strain F0167| Lachnospiraceae [G-1] sp. oral taxon 107 |Lachnospiraceae bacterium oral taxon 107 					SEQF1478	Lachnospiraceae bacterium Oral taxon 107 strain F0167 has been isolated from a human subject by the Moore&#39;s Laboratory in March 1988. The subject was a 14 year old American white male. The bacteria was isolated from the subgingival oral biofilm. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577253. The strain is available at www.bei.org under the reference HM-7.&nbsp;The genome of this strain is available as&nbsp;ADDS00000000.&nbsp; Recently named&nbsp;Lachnoanaerobaculum umeaense&nbsp;in "Lachnospiraceae; characterization of Lachnoanaerobaculum umeaense gen. nov., sp. nov., isolated from human small intestine, Lachnoanaerobaculum orale gen. nov., sp. nov., isolated from saliva and reclassification of Eubacterium saburreum (Prevot) Holdeman and Moore 1970 as Lachnoanaerobaculum saburreum comb. nov". PMID: 22228654.&nbsp;&nbsp; The name change is not yet refledted for the genome at NCBI (11-02-2012).					
108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae[14]	Oribacterium	sp. oral taxon 108				AF287770	22	0.06	188	Oral Strain TFI FTB41					SEQF1854	N/A					
110	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[13]	Parvimonas	sp. oral taxon 110				AF287767|AY349390	54	0.15	118	Oral Clone AJ062|Oral Clone FJ023|Oral Clone HE064					SEQF1676	N/A					
111	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[13]	Parvimonas	micra			ATCC 33270	AF385559|AF385543	237	0.68	27	Diplococcus glycinophilus|Micromonas micros|Peptococcus glycinophilus|Peptostreptococcus micros|Streptococcus anaerobius|Streptococcus micros					SEQF1029|SEQF2608	This species is known to be heterogeneous with micro-variation among 16S rRNA sequences, including between operons within strains and phenotypic variation including colonial appearance [1].	Colonies on horse blood agar are around 1 mm in diameter, circular, entire, opaque white or translucent gray and may be smooth or rough after 4 days anaerobic incubation.	Small (0.3 -0.7 micron diameter) Gram-positive cocci occurring in pairs and short chains [2]. Obligate anaerobe. Strains are asaccharolytic and the end-products of metabolism are primarily acetate with small amounts of lactate and sometimes succinate produced. The mol % G+C content of the DNA is 27-28. 	Parvimonas micra is a commonly found oral species and is isolated from dental plaque and the tongue in health and a variety of oral disease associated microbiota including periodontitis, endodontic and dentoalveolar infections, pericoronitis and advanced dental caries.	Has been isolated from most types of oral infection. Is a particularly frequent isolate from acute dentoalveolar infections where it is often a member of the 15-20 species consortium associated with the condition. Has also been isolated from clinical specimens obtained from infections at other body sites, primarily soft-tissue abscesses and bite wounds. These are primarily at sites above the diaphragm suggesting that the mouth is the primary habitat.	Int J Syst Bacteriol. 1993 Oct;43(4):787-93[PID:8240959]| Bergeys Manual of Systematic Bacteriology 1986; Vol. 2, pp. 1090-1091.
112	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Peptostreptococcus	stomatis				AF287763|DQ160208	191	0.55	36	Oral Clone CK035|Oral Strain TFI A21H2					SEQF1393	N/A					
113	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[13]	Peptostreptococcaceae[13][G-1]	sp. oral taxon 113				AF287766	18	0.05	211	Oral Clone DA014					SEQF2443	N/A					
118	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	invisus				AF287787|AF287788	460	1.32	12	Oral Clone BS095|Oral Strain GBA27					SEQF1103	N/A					
119	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	sp. oral taxon 119				AF287786|AF481210	15	0.04	228	Oral Clone BS016|Oral Clone MCE7_134						N/A					
121	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Anaeroglobus	geminatus				AF287783	155	0.44	47	Oral Clone BB166					SEQF1880	N/A					
122	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	micronuciformis				AF385566|AY278622	114	0.33	62	Oral Clone BU057|Oral Strain P4A_FAAD16					SEQF1685	N/A					
123	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	sp. oral taxon 123				AF287784	43	0.12	140	Oral Clone CS025						N/A					
124	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	artemidis				AF287797	56	0.16	114						SEQF1697|SEQF2584	N/A					
125	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	flueggei				AF287803|AF287804	23	0.07	183	Oral Clone AH132					SEQF1616	N/A					
126	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 126				AF287800|AF385576	14	0.04	236	Oral Clone AJ036|Oral Clone EY047					SEQF2656	N/A					
129	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 129				To be submitted	21	0.06	192	Oral Clone AU096|Oral Strain TFI FNA3						N/A					
130	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	noxia				AF287798|AF287799|AF385495	361	1.04	17						SEQF1593|SEQF1690	N/A					
131	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Mitsuokella	sp. oral taxon 131				AF287795|AY278627	167	0.48	42	Oral Clone C5AKM062|Oral Clone CS002					SEQF2446	N/A					
132	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 132				AF287791	32	0.09	158	Oral Clone CS015						N/A					
133	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 133				AF287796	10	0.03	280	Oral Clone CS024					SEQF1890	N/A					
134	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 134				AF287794	11	0.03	267	Oral Clone DD020						N/A					
135	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 135				AF287790	9	0.03	294	Oral Clone DM071						N/A					
136	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 136				AF385514	3	0.01	387	Oral Clone DO042						N/A					
137	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 137				AF366273	19	0.05	205	Oral Clone DS051					SEQF1858	N/A					
138	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 138				AF366274	20	0.06	198	Oral Clone DS071					SEQF1951	N/A					
139	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	dianae				AF385492|AF385501|AF287801	105	0.30	71	Oral Clone DY027|Oral Clone EW076|Oral Clone Z048					SEQF2309	N/A					
140	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 140				To be submitted	71	0.20	96	Oral Clone EL028						N/A					
143	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 143				AF385497	1	0.00	459	Oral Clone EW051a						N/A					
145	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 145				AF385502	28	0.08	171	Oral Clone EW079						N/A	This organism is know from the sequence of clones from human oral 16S rRNA libraries.&nbsp; An isolate has not yet been identified for this taxon. Therefore, it is as yet uncultivated.&nbsp; 				
146	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 146				AF385503	7	0.02	320	Oral Clone EW084						N/A					
148	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 148			None--not yet cultivated	AF385578	10	0.03	280	Oral Clones EZ011						N/A					
149	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sp. oral taxon 149				AY349403	49	0.14	128	Oral Clone FT050					SEQF1914	N/A					
150	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 150				AY207052	30	0.09	164	Oral Clone K024|Oral Clone P2PA_80						N/A					
151	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	sputigena				AF287793	305	0.87	21	Spirillum sputigenum|Vibrio sputigenus					SEQF1598	N/A					
155	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonellaceae[G-1]	sp. oral taxon 155				AF287789|AY278628	115	0.33	59	Oral Strain GAA14 [2]|Selenomonas genomosp. C2 [1]					SEQF1686	N/A					J Clin Microbiol. 2004 Jul;42(7):3023-9[PID:15243054]|J Bacteriol. 2001 Jun;183(12):3770-83[PID:11371542]
